"adm1_name","year","retail_rice_price_for_1kg"
Yangon,2021,1901.62
Kayin,2021,1845.64
Sagaing,2021,2415.82
Shan (South),2022,2485.34
Kayin,2022,2341.50
Tanintharyi,2022,2316.04
Kayah,2022,2614.47
Kachin,2022,2657.87
Yangon,2022,2685.04
Market Average,2022,2647.66
Chin,2022,2614.74
Sagaing,2022,3153.69
Magway,2022,2741.29
Rakhine,2022,2361.00
Mandalay,2022,3434.14
Mon,2022,2430.58
Shan (East),2022,4693.87
Shan (North),2022,3541.60
Chin,2023,5053.10
Kayin,2023,4704.33
Kachin,2023,5158.00
Rakhine,2023,4269.23
Market Average,2023,4610.97
Kayah,2023,4623.11
Shan (North),2023,5942.86
Shan (East),2023,7598.00
Sagaing,2023,5938.44
Mandalay,2023,5323.91
Magway,2023,5027.89
Tanintharyi,2023,4296.92
Yangon,2023,4560.89
Shan (South),2023,5650.70
Mon,2023,4461.54
Kachin,2024,6966.85
Yangon,2024,6392.82
Mandalay,2024,7656.89
Shan (North),2024,10782.00
Kayah,2024,6578.07
Sagaing,2024,8889.39
Shan (East),2024,12683.05
Magway,2024,7641.19
Rakhine,2024,6621.10
Shan (South),2024,7330.93
Chin,2024,8100.71
Market Average,2024,6478.94
Mon,2024,6705.25
Kayin,2024,7400.76
Tanintharyi,2024,5928.29
Shan (East),2025,14654.73
Chin,2025,9801.75
Mandalay,2025,7577.22
Yangon,2025,6754.91
Tanintharyi,2025,5920.08
Kayah,2025,8497.13
Shan (South),2025,8974.50
Mon,2025,6098.53
Kachin,2025,7224.95
Magway,2025,8398.88
Sagaing,2025,10929.03
Rakhine,2025,5676.98
Market Average,2025,6784.81
Kayin,2025,6394.28
Shan (North),2025,12705.78
