"month_2025","official_rice_price_for_1kg","market_growth"
1,2167.0293750000000000,
2,2168.5625000000000000,0.07
3,2257.8812500000000000,4.12
4,2192.6806250000000000,-2.89
5,2162.4093750000000000,-1.38
6,2118.2218750000000000,-2.04
7,2039.3756250000000000,-3.72
8,2251.3937500000000000,10.40
