"month_2025","rice_1_kg_price","market_growth"
1,6746.6125531875000000,
2,6751.3856312500000000,0.07
3,7029.4616956250000000,4.12
4,6826.4725898125000000,-2.89
5,6732.2291071875000000,-1.38
6,6594.6601634375000000,-2.04
7,6349.1881333125000000,-3.72
8,7009.2641618750000000,10.40
