"adm1_name","year","avg_food_price_index"
Rakhine,2008,0.79666666666666666667
Sagaing,2008,0.98398148148148148148
Shan (North),2008,1.0672101449275362
Shan (South),2008,0.93378205128205128205
Chin,2008,1.1670833333333333
Kachin,2008,0.99889639639639639640
Magway,2008,0.98684523809523809524
Market Average,2008,0.95333333333333333333
Yangon,2008,0.84078125000000000000
Mon,2008,0.88350000000000000000
Mandalay,2008,0.99260416666666666667
Kayah,2008,0.91883333333333333333
Tanintharyi,2008,0.93250000000000000000
Kayin,2008,0.90111111111111111111
Shan (East),2008,1.1162500000000000
Sagaing,2009,0.73527777777777777778
Yangon,2009,0.62427083333333333333
Tanintharyi,2009,0.70527777777777777778
Chin,2009,0.84254166666666666667
Magway,2009,0.70863095238095238095
Rakhine,2009,0.57811728395061728395
Kachin,2009,0.75468468468468468468
Mon,2009,0.66008333333333333333
Mandalay,2009,0.72729166666666666667
Kayin,2009,0.67625000000000000000
Shan (South),2009,0.71602564102564102564
Shan (East),2009,0.84875000000000000000
Market Average,2009,0.70666666666666666667
Shan (North),2009,0.79019927536231884058
Kayah,2009,0.68533333333333333333
Mon,2010,0.65691666666666666667
Kayin,2010,0.67263888888888888889
Magway,2010,0.68428571428571428571
Shan (South),2010,0.72141025641025641026
Sagaing,2010,0.73324074074074074074
Chin,2010,0.85016666666666666667
Tanintharyi,2010,0.70314814814814814815
Kayah,2010,0.68566666666666666667
Shan (North),2010,0.79429347826086956522
Market Average,2010,0.71500000000000000000
Yangon,2010,0.63510416666666666667
Shan (East),2010,0.87208333333333333333
Rakhine,2010,0.60932098765432098765
Mandalay,2010,0.70197916666666666667
Kachin,2010,0.74914414414414414414
Kayah,2011,0.76816666666666666667
Mon,2011,0.68816666666666666667
Magway,2011,0.75708333333333333333
Kayin,2011,0.71250000000000000000
Yangon,2011,0.70312500000000000000
Rakhine,2011,0.67402777777777777778
Market Average,2011,0.75583333333333333333
Sagaing,2011,0.77870370370370370370
Kachin,2011,0.79202702702702702703
Shan (North),2011,0.79610507246376811594
Tanintharyi,2011,0.72157407407407407407
Shan (South),2011,0.79346153846153846154
Chin,2011,0.86916666666666666667
Mandalay,2011,0.78541666666666666667
Shan (East),2011,0.81875000000000000000
Tanintharyi,2012,0.67500000000000000000
Magway,2012,0.62125000000000000000
Yangon,2012,0.60604166666666666667
Chin,2012,0.73179166666666666667
Rakhine,2012,0.58098765432098765432
Kayah,2012,0.69466666666666666667
Mon,2012,0.63583333333333333333
Mandalay,2012,0.66812500000000000000
Shan (East),2012,0.88375000000000000000
Kayin,2012,0.66583333333333333333
Market Average,2012,0.69916666666666666667
Shan (North),2012,0.85530797101449275362
Sagaing,2012,0.74851851851851851852
Kachin,2012,0.73477477477477477477
Shan (South),2012,0.72570512820512820513
Magway,2013,0.65797619047619047619
Shan (South),2013,0.67570512820512820513
Yangon,2013,0.61786458333333333333
Mandalay,2013,0.70593750000000000000
Mon,2013,0.61958333333333333333
Chin,2013,0.81679166666666666667
Rakhine,2013,0.54820987654320987654
Kayah,2013,0.65366666666666666667
Sagaing,2013,0.76240740740740740741
Tanintharyi,2013,0.59870370370370370370
Shan (East),2013,0.88708333333333333333
Kachin,2013,0.69286036036036036036
Kayin,2013,0.62458333333333333333
Shan (North),2013,0.90018115942028985507
Market Average,2013,0.69833333333333333333
Sagaing,2014,0.79129629629629629630
Rakhine,2014,0.57435185185185185185
Kayah,2014,0.62283333333333333333
Yangon,2014,0.62812500000000000000
Tanintharyi,2014,0.59990740740740740741
Shan (South),2014,0.64083333333333333333
Chin,2014,0.82958333333333333333
Magway,2014,0.66863095238095238095
Kayin,2014,0.61847222222222222222
Shan (North),2014,0.91139492753623188406
Mon,2014,0.62025000000000000000
Shan (East),2014,0.86750000000000000000
Mandalay,2014,0.71510416666666666667
Market Average,2014,0.70833333333333333333
Kachin,2014,0.70936936936936936937
Chin,2015,0.87450000000000000000
Mon,2015,0.68383333333333333333
Shan (South),2015,0.67288461538461538462
Kayin,2015,0.67569444444444444444
Sagaing,2015,0.83120370370370370370
Mandalay,2015,0.77395833333333333333
Tanintharyi,2015,0.66240740740740740741
Yangon,2015,0.70760416666666666667
Kayah,2015,0.66533333333333333333
Kachin,2015,0.73382882882882882883
Shan (East),2015,0.91958333333333333333
Magway,2015,0.75220238095238095238
Shan (North),2015,0.89001811594202898551
Market Average,2015,0.75166666666666666667
Rakhine,2015,0.64666666666666666667
Shan (North),2016,1.0039673913043478
Magway,2016,0.94285714285714285714
Yangon,2016,0.88057291666666666667
Shan (South),2016,0.82378205128205128205
Rakhine,2016,0.80598765432098765432
Market Average,2016,0.91250000000000000000
Kachin,2016,0.94315315315315315315
Kayin,2016,0.82875000000000000000
Shan (East),2016,1.1133333333333333
Kayah,2016,0.82983333333333333333
Tanintharyi,2016,0.84546296296296296296
Chin,2016,1.0364166666666667
Mandalay,2016,0.91927083333333333333
Sagaing,2016,0.97398148148148148148
Mon,2016,0.82641666666666666667
Shan (North),2017,1.1656340579710145
Magway,2017,0.99458333333333333333
Rakhine,2017,0.83912037037037037037
Shan (East),2017,1.2679166666666667
